"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "XML", "Markdown", "JSON", "TypeScript JSX", "YAML", "CSS", "comment", "blank", "total"
"c:\aspirants-nextjs-auth\app\administrator\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 4, 10, 80
"c:\aspirants-nextjs-auth\app\administrator\manage-roles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 21, 229
"c:\aspirants-nextjs-auth\app\administrator\manage-roles\types\user.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\aspirants-nextjs-auth\app\administrator\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 17, 300
"c:\aspirants-nextjs-auth\app\administrator\question-admin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 8, 101
"c:\aspirants-nextjs-auth\app\administrator\question-bank\QuestionBankDashboardContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 627, 0, 0, 0, 44, 671
"c:\aspirants-nextjs-auth\app\administrator\question-bank\QuestionBankDashboardWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\aspirants-nextjs-auth\app\administrator\question-bank\QuestionContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"c:\aspirants-nextjs-auth\app\administrator\question-bank\QuestionForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 13, 209
"c:\aspirants-nextjs-auth\app\administrator\question-bank\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\aspirants-nextjs-auth\app\administrator\question-bank\types.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\aspirants-nextjs-auth\app\administrator\settings\address.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 4, 49
"c:\aspirants-nextjs-auth\app\administrator\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 14, 97
"c:\aspirants-nextjs-auth\app\api\admin\applications\[id]\route.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 6, 38
"c:\aspirants-nextjs-auth\app\api\admin\applications\route.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 5, 30
"c:\aspirants-nextjs-auth\app\api\applications\route.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 3, 8, 56
"c:\aspirants-nextjs-auth\app\api\auth\[...nextauth]\options.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 2, 8, 100
